,date,hour,city,time
522,2020-05-06,12,금천구,19.78
523,2020-05-06,12,도봉구,22.92
524,2020-05-06,12,동작구,21.17
525,2020-05-06,12,영등포구,24.25
526,2020-05-06,12,은평구,30.7
527,2020-05-06,13,구로구,23.46
528,2020-05-06,13,금천구,17.71
529,2020-05-06,13,도봉구,17.25
530,2020-05-06,13,동작구,34.87
531,2020-05-06,13,영등포구,17.5
532,2020-05-06,13,은평구,20.54
533,2020-05-06,14,구로구,25.08
534,2020-05-06,14,금천구,23.33
535,2020-05-06,14,도봉구,67.47
536,2020-05-06,14,동작구,14.35
537,2020-05-06,14,양천구,34.37
538,2020-05-06,14,영등포구,17.01
539,2020-05-06,14,은평구,24.6
540,2020-05-06,15,구로구,30.15
541,2020-05-06,15,금천구,22.89
542,2020-05-06,15,도봉구,17.0
543,2020-05-06,15,동작구,20.35
544,2020-05-06,15,양천구,20.97
545,2020-05-06,15,영등포구,24.56
546,2020-05-06,15,은평구,20.2
547,2020-05-06,16,구로구,23.6
548,2020-05-06,16,금천구,19.82
549,2020-05-06,16,도봉구,21.88
550,2020-05-06,16,동작구,19.07
551,2020-05-06,16,영등포구,25.77
552,2020-05-06,16,은평구,23.7
553,2020-05-06,17,구로구,25.48
554,2020-05-06,17,금천구,21.96
555,2020-05-06,17,동작구,37.78
556,2020-05-06,17,영등포구,25.79
557,2020-05-06,17,은평구,27.63
558,2020-05-06,18,구로구,25.37
559,2020-05-06,18,금천구,25.21
560,2020-05-06,18,도봉구,22.61
561,2020-05-06,18,동작구,26.96
562,2020-05-06,18,양천구,34.02
563,2020-05-06,18,영등포구,35.96
564,2020-05-06,18,은평구,21.96
565,2020-05-06,19,구로구,30.35
566,2020-05-06,19,금천구,24.61
567,2020-05-06,19,도봉구,21.29
568,2020-05-06,19,동작구,25.83
569,2020-05-06,19,양천구,27.18
570,2020-05-06,19,영등포구,31.55
571,2020-05-06,19,은평구,24.58
572,2020-05-06,20,구로구,27.97
573,2020-05-06,20,금천구,22.1
574,2020-05-06,20,도봉구,22.14
575,2020-05-06,20,동작구,23.06
576,2020-05-06,20,양천구,32.25
577,2020-05-06,20,영등포구,22.94
578,2020-05-06,20,은평구,25.94
579,2020-05-06,21,구로구,27.46
580,2020-05-06,21,금천구,21.98
581,2020-05-06,21,도봉구,19.93
582,2020-05-06,21,동작구,24.44
583,2020-05-06,21,양천구,28.16
584,2020-05-06,21,영등포구,23.16
585,2020-05-06,21,은평구,23.24
586,2020-05-06,22,구로구,22.68
587,2020-05-06,22,금천구,19.15
588,2020-05-06,22,도봉구,32.57
589,2020-05-06,22,동작구,17.65
590,2020-05-06,22,영등포구,21.39
591,2020-05-06,22,은평구,25.25
592,2020-05-06,23,구로구,18.72
593,2020-05-06,23,금천구,20.22
594,2020-05-06,23,도봉구,21.02
595,2020-05-06,23,영등포구,23.65
596,2020-05-06,23,은평구,19.0
597,2020-05-07,0,구로구,19.95
598,2020-05-07,0,금천구,19.28
599,2020-05-07,0,영등포구,26.53
600,2020-05-07,0,은평구,24.7
601,2020-05-07,1,구로구,15.77
602,2020-05-07,1,금천구,16.89
603,2020-05-07,1,영등포구,21.14
604,2020-05-07,1,은평구,22.76
605,2020-05-07,2,영등포구,19.34
606,2020-05-07,3,영등포구,18.07
607,2020-05-07,4,영등포구,16.92
608,2020-05-07,5,영등포구,28.29
609,2020-05-07,10,구로구,15.32
610,2020-05-07,11,금천구,16.09
611,2020-05-07,11,동작구,25.81
612,2020-05-07,11,영등포구,25.41
613,2020-05-07,12,구로구,23.22
614,2020-05-07,12,금천구,20.48
615,2020-05-07,12,동작구,34.75
616,2020-05-07,12,양천구,44.38
617,2020-05-07,12,영등포구,24.83
618,2020-05-07,12,은평구,28.07
619,2020-05-07,13,구로구,20.51
620,2020-05-07,13,금천구,17.92
621,2020-05-07,13,도봉구,15.23
622,2020-05-07,13,동작구,17.66
623,2020-05-07,13,영등포구,17.27
624,2020-05-07,13,은평구,21.07
625,2020-05-07,14,구로구,29.59
626,2020-05-07,14,금천구,20.23
627,2020-05-07,14,영등포구,28.05
628,2020-05-07,14,은평구,25.89
629,2020-05-07,15,구로구,23.85
630,2020-05-07,15,금천구,23.14
631,2020-05-07,15,동작구,21.91
632,2020-05-07,15,영등포구,17.75
633,2020-05-07,15,은평구,27.59
634,2020-05-07,16,구로구,27.0
635,2020-05-07,16,금천구,24.36
636,2020-05-07,16,동작구,16.38
637,2020-05-07,16,영등포구,22.06
638,2020-05-07,16,은평구,22.96
639,2020-05-07,17,구로구,26.63
640,2020-05-07,17,금천구,26.19
641,2020-05-07,17,도봉구,18.95
642,2020-05-07,17,동작구,29.46
643,2020-05-07,17,양천구,26.53
644,2020-05-07,17,영등포구,23.81
645,2020-05-07,17,은평구,21.79
646,2020-05-07,18,구로구,31.49
647,2020-05-07,18,금천구,24.45
648,2020-05-07,18,도봉구,27.9
649,2020-05-07,18,동작구,34.15
650,2020-05-07,18,양천구,32.07
651,2020-05-07,18,영등포구,26.52
652,2020-05-07,18,은평구,25.02
653,2020-05-07,19,구로구,31.11
654,2020-05-07,19,금천구,26.28
655,2020-05-07,19,도봉구,21.95
656,2020-05-07,19,동작구,34.99
657,2020-05-07,19,양천구,30.9
658,2020-05-07,19,영등포구,23.98
659,2020-05-07,19,은평구,26.49
660,2020-05-07,20,구로구,28.18
661,2020-05-07,20,금천구,22.32
662,2020-05-07,20,도봉구,22.4
663,2020-05-07,20,동작구,32.52
664,2020-05-07,20,양천구,30.98
665,2020-05-07,20,영등포구,26.8
666,2020-05-07,20,은평구,22.04
667,2020-05-07,21,구로구,25.54
668,2020-05-07,21,금천구,20.62
669,2020-05-07,21,도봉구,26.33
670,2020-05-07,21,동작구,28.04
671,2020-05-07,21,양천구,13.96
672,2020-05-07,21,영등포구,18.72
673,2020-05-07,21,은평구,18.33
674,2020-05-07,22,구로구,25.22
675,2020-05-07,22,금천구,17.48
676,2020-05-07,22,도봉구,18.14
677,2020-05-07,22,동작구,13.61
678,2020-05-07,22,양천구,23.59
679,2020-05-07,22,영등포구,18.41
680,2020-05-07,22,은평구,22.33
681,2020-05-07,23,구로구,23.61
682,2020-05-07,23,금천구,20.7
683,2020-05-07,23,동작구,32.02
684,2020-05-07,23,영등포구,18.69
685,2020-05-07,23,은평구,21.09
686,2020-05-08,0,구로구,22.63
687,2020-05-08,0,금천구,16.51
688,2020-05-08,0,동작구,13.57
689,2020-05-08,0,영등포구,20.0
690,2020-05-08,0,은평구,16.96
691,2020-05-08,1,금천구,25.02
692,2020-05-08,1,영등포구,16.68
693,2020-05-08,1,은평구,15.43
694,2020-05-08,2,영등포구,19.39
695,2020-05-08,3,영등포구,20.37
696,2020-05-08,4,영등포구,18.0
697,2020-05-08,5,영등포구,21.86
698,2020-05-08,7,영등포구,20.85
699,2020-05-08,8,영등포구,27.22
700,2020-05-08,9,동작구,50.74
701,2020-05-08,10,동작구,51.8
702,2020-05-08,10,영등포구,17.92
703,2020-05-08,11,구로구,23.76
704,2020-05-08,11,금천구,18.29
705,2020-05-08,11,동작구,59.28
706,2020-05-08,11,영등포구,33.94
707,2020-05-08,12,구로구,21.94
708,2020-05-08,12,금천구,21.33
709,2020-05-08,12,동작구,41.22
710,2020-05-08,12,영등포구,24.04
711,2020-05-08,12,은평구,19.39
712,2020-05-08,13,구로구,22.94
713,2020-05-08,13,금천구,16.89
714,2020-05-08,13,동작구,24.45
715,2020-05-08,13,양천구,25.47
716,2020-05-08,13,영등포구,28.45
717,2020-05-08,13,은평구,20.75
718,2020-05-08,14,구로구,22.37
719,2020-05-08,14,금천구,20.57
720,2020-05-08,14,도봉구,21.68
